nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Chile,19458310,756102,América
Colombia,51516562,1141748,América
México,130262216,1964375,América
Perú,33359418,1285216,América
Venezuela,28199867,916445,América
Alemania,83149300,357022,Europa
España,47351567,505990,Europa
Francia,67439599,551695,Europa
Italia,60367477,301340,Europa
Portugal,10298252,92212,Europa
Reino Unido,67215293,243610,Europa
Japón,125800000,377975,Asia
China,1412600000,9596960,Asia
India,1380004385,3287263,Asia
Indonesia,273523621,1904569,Asia
Pakistán,220892340,881913,Asia
Rusia,144104080,17098242,Europa
Turquía,84339067,783356,Asia
Nigeria,211400708,923768,África
Etiopía,117876227,1104300,África
Egipto,102334404,1002450,África
República Democrática del Congo,101780263,2344858,África
Sudáfrica,59308690,1219090,África
Australia,25499884,7692024,Oceanía
Nueva Zelanda,5084300,270467,Oceanía
Uruguay,3499500,176216,América
